"EU27+3 divided into five regions:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West (BENELUX + British Isles): BE, IE, LU, NL, UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South: CH, CY, ES, FR (metropolitan), EL, IT, MT, PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North: DK, FI, NO, SE, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East: AT, BG, CZ, EE, HR, HU, LT, LV, PL, RO, SI, SK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany (DE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data in red is gap-filled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","historic","future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","data <--","data -->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kosovo (under United Nations Security Council Resolution 1244/99)",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",1985000,2016000,2041000,2100000,2126708,2153139,2180686,2208107,1794180,":",":",":",":",1771604,1783531,1798506,1795666,1782115,":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",3644070,3635112,3627812,3618312,3607435,3600436,3589936,3581110,3572703,3567512,3563695,3560430,3559541,3559497,3557634,3555159,":",3550852,":",":",":",2597107,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",32828,33085,":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russia",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",146890128,146303611,145649334,145166731,144168205,143474219,142753551,142220968,142008838,141903979,141914509,142856536,143056383,":",143666931,":",":",":",":",":",":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"San Marino",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",29241,29673,29999,30368,32054,31269,":",31863,33376,33562,":",":",":",":",34453,":",":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",49114950,48663609,48240902,47823108,47442079,47100462,46749170,46465691,46192309,45963359,45782592,45598179,45453282,45372692,45245894,42759661,42590879,42414905,42216766,41983564,41732779,41418717,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",3226900,3215300,3212900,3210300,3212200,3215800,3219234,3222953,3230086,3237976,3249482,3262650,3274285,":",":",3010598,2998577,2986151,2972732,2965269,2959694,2963251,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",8016200,8081000,8141400,8202500,8265700,8347300,8436400,8532700,8629900,8896900,8997586,9111078,9235085,9356483,9477119,9593038,9705643,9809981,9898085,9981457,10067108,10119133,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",4435200,4401400,4371500,4352600,4315200,4321500,4401292,4394702,4382070,4385429,4436391,4469250,4497617,":",4490498,3729500,3720400,3718200,3729633,3723464,3716858,3728573,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
":","not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Available flags:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bep","break in time series, estimated, provisional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ep","estimated, provisional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be","break in time series, estimated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b","break in time series","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e","estimated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"p","provisional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",1.0063598865801207,1.0033742994119697,1.0008008078405133,0.9990391312747511,0.9977842235126119,0.9989277428553898,1.0015922202067271,1.0038138189710804,1.005414693338439,1.0078111278732198,1.0094216590100604,1.0101390894587408,1.010678870329526,1.0110532095637301,1.0127150904210092,1.014038926789254,1.0155062344061199,1.0166568481038663,1.017545005300964,1.0180747645054444,1.0185354273108809,1.025910641679554,1.0261653660280146,1.0264387342181978,1.0267404114666328,1.0270568902300132,1.0273808879214374,1.0277095378420456,1.0280609112731716,1.0284105337859475,1.028659117290679,1.0288989719196178,1.0291214010196947,1.0293210153080004,1.029531568749848,1.029683548439926,1.0298030937691536,1.029934782353294,1.0301332749313405,1.0301688243064686,1.0301699021759418,1.0302579132912293,1.0299957849955466,1.0298673275784047,1.041745086108655,1.0416087179219395,1.0397271102107024,1.0377254963184117,1.0364373403440417,1.0341600640206516,1.0317675867787794,1.0323546497315967,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
